Week_number,Product_0979,Product_0993,Product_1157,Product_1159,Product_1938,Quarter,Season,Total_Revenue,Product_0979_MA_3,Product_0979_MA_5,Product_0979_LR,Product_0993_MA_3,Product_0993_MA_5,Product_0993_LR,Product_1157_MA_3,Product_1157_MA_5,Product_1157_LR,Product_1159_MA_3,Product_1159_MA_5,Product_1159_LR,Product_1938_MA_3,Product_1938_MA_5,Product_1938_LR
1,4700,0,10000,50000,19,1,mùa Đông,64719,,,8.214804063860667,,,8.214804063860667,,,8.214804063860667,,,8.214804063860667,,,8.214804063860667
2,11800,0,150000,10000,11,1,mùa Đông,171811,,,8.26444975668061,,,8.26444975668061,,,8.26444975668061,,,8.26444975668061,,,8.26444975668061
3,16400,100,130000,130000,10,1,mùa Đông,276510,10966.666666666666,,8.314095449500554,33.333333333333336,,8.314095449500554,96666.66666666667,,8.314095449500554,63333.333333333336,,8.314095449500554,13.333333333333334,,8.314095449500554
4,5200,0,40000,30000,8,1,mùa Đông,75208,11133.333333333334,,8.363741142320498,33.333333333333336,,8.363741142320498,106666.66666666667,,8.363741142320498,56666.666666666664,,8.363741142320498,9.666666666666666,,8.363741142320498
5,8000,0,10000,60000,11,1,mùa Đông,78011,9866.666666666666,9220.0,8.413386835140441,33.333333333333336,20.0,8.413386835140441,60000.0,68000.0,8.413386835140441,73333.33333333333,56000.0,8.413386835140441,9.666666666666666,11.8,8.413386835140441
6,7000,100,40000,0,4,1,mùa Đông,47104,6733.333333333333,9680.0,8.463032527960385,33.333333333333336,40.0,8.463032527960385,30000.0,74000.0,8.463032527960385,30000.0,46000.0,8.463032527960385,7.666666666666667,8.8,8.463032527960385
7,16500,0,130000,30000,13,1,mùa Đông,176513,10500.0,10620.0,8.512678220780328,33.333333333333336,40.0,8.512678220780328,60000.0,70000.0,8.512678220780328,30000.0,50000.0,8.512678220780328,9.333333333333334,9.2,8.512678220780328
8,5800,100,0,50000,1,1,mùa Đông,55901,9766.666666666666,8500.0,8.562323913600272,66.66666666666667,40.0,8.562323913600272,56666.666666666664,44000.0,8.562323913600272,26666.666666666668,34000.0,8.562323913600272,6.0,7.4,8.562323913600272
9,15300,0,40000,70000,2,1,mùa Đông,125302,12533.333333333334,10520.0,8.611969606420216,33.333333333333336,40.0,8.611969606420216,56666.666666666664,44000.0,8.611969606420216,50000.0,42000.0,8.611969606420216,5.333333333333333,6.2,8.611969606420216
10,8900,300,370000,60000,11,1,mùa Xuân,439211,10000.0,10700.0,8.661615299240161,133.33333333333334,100.0,8.661615299240161,136666.66666666666,116000.0,8.661615299240161,60000.0,42000.0,8.661615299240161,4.666666666666667,6.2,8.661615299240161
11,15900,0,60000,30000,10,1,mùa Xuân,105910,13366.666666666666,12480.0,8.711260992060105,100.0,80.0,8.711260992060105,156666.66666666666,120000.0,8.711260992060105,53333.333333333336,48000.0,8.711260992060105,7.666666666666667,7.4,8.711260992060105
12,2100,0,90000,50000,0,1,mùa Xuân,142100,8966.666666666666,9600.0,8.760906684880048,100.0,80.0,8.760906684880048,173333.33333333334,112000.0,8.760906684880048,46666.666666666664,52000.0,8.760906684880048,7.0,4.8,8.760906684880048
13,12500,0,100000,40000,3,1,mùa Xuân,152503,10166.666666666666,10940.0,8.810552377699992,0.0,60.0,8.810552377699992,83333.33333333333,132000.0,8.810552377699992,40000.0,50000.0,8.810552377699992,4.333333333333333,5.2,8.810552377699992
14,2100,100,0,110000,3,2,mùa Xuân,112203,5566.666666666667,8300.0,8.860198070519935,33.333333333333336,80.0,8.860198070519935,63333.333333333336,124000.0,8.860198070519935,66666.66666666667,58000.0,8.860198070519935,2.0,5.4,8.860198070519935
15,400,100,10000,20000,14,2,mùa Xuân,30514,5000.0,6600.0,8.909843763339879,66.66666666666667,40.0,8.909843763339879,36666.666666666664,52000.0,8.909843763339879,56666.666666666664,50000.0,8.909843763339879,6.666666666666667,6.0,8.909843763339879
16,6600,200,110000,120000,14,2,mùa Xuân,236814,3033.3333333333335,4740.0,8.959489456159822,133.33333333333334,80.0,8.959489456159822,40000.0,62000.0,8.959489456159822,83333.33333333333,68000.0,8.959489456159822,10.333333333333334,6.8,8.959489456159822
17,14000,0,190000,30000,25,2,mùa Xuân,234025,7000.0,7120.0,9.009135148979766,100.0,80.0,9.009135148979766,103333.33333333333,82000.0,9.009135148979766,56666.666666666664,64000.0,9.009135148979766,17.666666666666668,11.8,9.009135148979766
18,300,0,10000,20000,0,2,mùa Xuân,30300,6966.666666666667,4680.0,9.05878084179971,66.66666666666667,80.0,9.05878084179971,103333.33333333333,64000.0,9.05878084179971,56666.666666666664,60000.0,9.05878084179971,13.0,11.2,9.05878084179971
19,3300,0,20000,70000,18,2,mùa Xuân,93318,5866.666666666667,4920.0,9.108426534619653,0.0,60.0,9.108426534619653,73333.33333333333,68000.0,9.108426534619653,40000.0,52000.0,9.108426534619653,14.333333333333334,14.2,9.108426534619653
20,10700,0,30000,30000,11,2,mùa Xuân,70711,4766.666666666667,6980.0,9.158072227439597,0.0,40.0,9.158072227439597,20000.0,72000.0,9.158072227439597,40000.0,54000.0,9.158072227439597,9.666666666666666,13.6,9.158072227439597
21,11200,300,180000,10000,1,2,mùa Xuân,201501,8400.0,7900.0,9.20771792025954,100.0,60.0,9.20771792025954,76666.66666666667,86000.0,9.20771792025954,36666.666666666664,32000.0,9.20771792025954,10.0,11.0,9.20771792025954
22,16700,300,70000,50000,8,2,mùa Xuân,137008,12866.666666666666,8440.0,9.257363613079484,200.0,120.0,9.257363613079484,93333.33333333333,62000.0,9.257363613079484,30000.0,36000.0,9.257363613079484,6.666666666666667,7.6,9.257363613079484
23,2500,200,380000,0,5,2,mùa Hạ,382705,10133.333333333334,8880.0,9.307009305899427,266.6666666666667,160.0,9.307009305899427,210000.0,136000.0,9.307009305899427,20000.0,32000.0,9.307009305899427,4.666666666666667,8.6,9.307009305899427
24,17200,0,50000,20000,29,2,mùa Hạ,87229,12133.333333333334,11660.0,9.356654998719371,166.66666666666666,160.0,9.356654998719371,166666.66666666666,142000.0,9.356654998719371,23333.333333333332,22000.0,9.356654998719371,14.0,10.8,9.356654998719371
